id,name,code,slug,status,created,modified,provider_id,latency,cost,inference,realtime_sts
60,Phoebe,Phoebe,Phoebe,f,2025-07-05 10:57:17.420328+00,2025-12-22 05:13:02.99003+00,24,,0.00,f,f
61,Pluto,Pluto,Pluto,f,2025-07-05 10:57:28.091993+00,2025-12-22 05:13:02.979586+00,24,,0.00,f,f
62,Draco,Draco,Draco,f,2025-07-05 10:57:31.528108+00,2025-12-22 05:13:02.966397+00,24,,0.00,f,f
63,Saturn,Saturn,Saturn,f,2025-07-05 10:57:39.385116+00,2025-12-22 05:13:02.953274+00,24,,0.00,f,f
64,Selene,Selene,Selene,f,2025-07-05 10:57:50.337973+00,2025-12-22 05:13:02.936188+00,24,,0.00,f,f
65,Electra,Electra,Electra,f,2025-07-05 10:57:53.392569+00,2025-12-22 05:13:02.925382+00,24,,0.00,f,f
66,Thalia,Thalia,Thalia,f,2025-07-05 10:58:02.885678+00,2025-12-22 05:13:02.901401+00,24,,0.00,f,f
67,Theia,Theia,Theia,f,2025-07-05 10:58:22.369516+00,2025-12-22 05:13:02.866283+00,24,,0.00,f,f
68,Vesta,Vesta,Vesta,f,2025-07-05 10:58:22+00,2025-12-22 05:13:02.848484+00,24,,0.00,f,f
69,Burt,burt,burt,f,2025-07-07 10:10:42.774464+00,2025-12-22 05:13:02.833971+00,34,,0.00,f,f
70,Marissa,marissa,marissa,f,2025-07-07 10:10:42.785934+00,2025-12-22 05:13:02.818845+00,34,,0.00,f,f
71,sarah,sarah,sarah,f,2025-07-07 10:10:42.798064+00,2025-12-22 05:13:02.805587+00,34,,0.00,f,f
74,paula,paula,paula,f,2025-07-07 10:10:42.842077+00,2025-12-22 05:13:02.758092+00,34,,0.00,f,f
75,hyperion,hyperion,hyperion-1,f,2025-08-13 12:15:36.429545+00,2025-12-22 05:13:02.74121+00,24,,0.00,f,f
76,athena,athena,athena-1,f,2025-08-13 12:23:47.547942+00,2025-12-22 05:13:02.71465+00,24,,0.00,f,f
