id,created,modified,created_by,updated_by,name,description,url,slug,logo,token_limit,config,provider_id,tool_calling,inference,sort_order,status,realtime_sts,codename,cost
298,2025-07-05 11:36:33.441218+00,2026-01-05 08:13:47.50083+00,,,assemblyai,"","",assemblyai,"",,{},,f,f,0,active,f,assemblyai,0.0000
299,2025-07-05 11:36:52.454781+00,2026-01-05 08:13:47.508067+00,,,speechmatics,"","",speechmatics,"",,{},22,f,f,0,inactive,f,speechmatics,0.0000
300,2025-07-05 11:37:20.722055+00,2026-01-05 08:13:47.513986+00,,,google,"","",google,"",,{},,f,f,0,active,f,google,0.0000
309,2025-07-05 16:26:48+00,2026-01-05 08:13:47.59835+00,,,playai-tts,"","",playai-tts,"",,{},,f,f,0,active,f,playai-tts,0.0000
311,2025-07-05 16:26:48+00,2026-01-05 08:13:47.603523+00,,,aura-2,"","",aura-2,"",,{},24,f,f,0,inactive,f,aura-2,0.0000
317,2025-07-07 10:27:54.99928+00,2026-01-05 08:13:47.633845+00,,,Scribe v1,"","",Scribe_v1,"",,{},35,f,f,0,inactive,f,Scribe v1,0.0000
318,2025-08-19 10:22:01.425995+00,2026-01-05 08:13:47.639631+00,,,aura,"","",aura,"",,{},24,f,f,0,inactive,f,aura,0.0000
320,2025-08-19 12:45:18.07329+00,2026-01-05 08:13:47.649793+00,,,Eleven English v1,"","",eleven_english_v1,"",,{},34,f,f,0,inactive,f,Eleven English v1,0.0000
323,2025-09-24 05:53:21.083929+00,2026-01-05 08:13:47.668276+00,,,eleven_multilingual_v2,"","",eleven_multilingual_v2-1,"",,{},34,f,f,0,inactive,f,eleven_multilingual_v2,0.0000
328,2025-09-24 09:32:04.576088+00,2026-01-05 08:13:47.69875+00,,,gpt-4o-mini,"","",gpt-4o-mini-1,"",,{},7,f,t,0,active,f,gpt-4o-mini,0.0000
335,2025-09-24 09:40:37.673358+00,2026-01-05 08:13:47.715138+00,,,Phi-4,"","",phi-4,"",,{},48,f,f,0,inactive,f,Phi-4,0.0000
316,2025-07-07 15:48:23+00,2026-01-22 12:28:16.010712+00,,,eleven_flash_v2,"","",eleven_flash_v2,"",,"""{}""",34,f,t,0,inactive,f,eleven_flash_v2,0.0000
319,2025-08-19 12:42:17.51665+00,2026-02-09 05:59:29.358305+00,,,eleven_turbo_v2_5,"","",eleven_turbo_v2_5,"",,{},34,f,f,0,active,f,eleven_turbo_v2_5,0.0000
321,2025-08-20 09:30:35.425191+00,2026-01-29 14:36:16.099541+00,,,unpod-tts-v1,"","",unpod-tts-v1,"",,{},37,f,t,0,active,f,unpod-tts-1,0.0000
338,2025-09-24 09:59:38.670191+00,2026-01-30 08:10:39.872247+00,,,nova-3,"","",nova-3-1,"",,{},,f,t,0,inactive,f,nova-3,0.0000
286,2025-07-05 16:26:48+00,2026-01-22 14:28:32.772417+00,,,nova-2,"","",nova-2,"",,{},33,f,t,0,active,f,nova-2,0.0000
330,2025-09-24 09:33:56.336663+00,2026-02-03 12:48:35.074988+00,,,arn:aws:bedrock:ap-south-1:321658412833:inference-profile/apac.anthropic.claude-sonnet-4-20250514-v,"","",arnawsbedrockap-south-1321658412833inference-profileapacanthropicclaude-sonnet-4-20250514-v,"",,{},50,f,f,0,inactive,f,arn:aws:bedrock:ap-south-1:321658412833:inference-profile/apac.anthropic.claude-sonnet-4-20250514-v,0.0000
272,2025-07-05 16:26:48+00,2026-02-03 14:46:45.028707+00,,,llama3.1-8b,"","",llama3-1-8b,"",,{},54,f,f,0,active,f,llama3.1-8b,0.0000
336,2025-09-24 09:41:46.137699+00,2026-02-03 18:00:36.358533+00,,,gemini-2.5-flash,"","",googlegemini-25-flash-001,"",,{},47,t,t,0,active,f,gemini-2.5-flash,0.0000
305,2025-07-05 16:26:48+00,2026-02-05 06:56:45.213961+00,,,GPT-4o min TTS,"","",gpt-4o-min-tts,"",,{},7,f,f,0,inactive,f,GPT-4o min TTS,0.0000
324,2025-09-24 09:21:11.423783+00,2026-01-05 08:13:47.68057+00,,,chirp_3,"","",chirp_3,"",,{},,f,f,0,inactive,f,chirp_3,0.0000
326,2025-09-24 09:25:25.111516+00,2026-01-05 08:13:47.686329+00,,,latest_long,"","",latest_long,"",,{},,f,f,0,inactive,f,latest_long,0.0000
327,2025-09-24 09:27:29.550648+00,2026-01-05 08:13:47.693382+00,,,medical_conversation,"","",medical_conversation,"",,{},,f,f,0,inactive,f,medical_conversation,0.0000
279,2025-07-05 16:26:48+00,2026-01-05 08:13:47.440597+00,,,gpt-4o-transcribe,"","",gpt-4o-transcribe,"",,{},,f,f,0,inactive,f,gpt-4o-transcribe,0.0000
280,2025-07-05 16:26:48+00,2026-01-05 08:13:47.446438+00,,,whisper-1,"","",whisper-1,"",,{},,f,f,0,inactive,f,whisper-1,0.0000
281,2025-07-05 16:26:48+00,2026-01-05 08:13:47.452223+00,,,gpt-4o-mini-transcribe,"","",gpt-4o-mini-transcribe,"",,{},,f,f,0,inactive,f,gpt-4o-mini-transcribe,0.0000
306,2025-07-05 16:26:48+00,2026-01-05 08:13:47.586943+00,,,TTS-1,"","",tts-1,"",,{},,f,f,0,inactive,f,TTS-1,0.0000
334,2025-09-24 09:39:56.54885+00,2026-02-06 15:57:40.369887+00,,,gpt-4o-mini,"","",gpt-4o-mini-2,"",,{},48,f,f,0,active,f,gpt-4o-mini,0.0000
285,2025-07-05 16:26:48+00,2026-02-07 16:30:12.828837+00,,,nova-3,"","",nova-3,"",,{},33,f,f,0,active,f,nova-3,0.0000
341,2025-09-24 10:09:55.621257+00,2026-01-05 08:13:47.73656+00,,,nova-2-general,"","",nova-2-general-1,"",,{},,f,f,0,active,f,nova-2-general,0.0000
342,2025-09-24 10:10:40.262618+00,2026-01-05 08:13:47.744049+00,,,solaria-1,"","",solaria-1,"",,{},43,f,f,0,inactive,f,solaria-1,0.0000
344,2025-09-24 10:22:57.356579+00,2026-01-05 08:13:47.749193+00,,,aurora,"","",aurora,"",,{},40,f,f,0,active,f,aurora,0.0000
345,2025-09-24 10:34:08.285878+00,2026-01-05 08:13:47.753979+00,,,sonic-2,"","",sonic-2,"",,{},42,f,t,0,active,f,sonic-2,0.0000
